opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1609473600000.0,1609617600000.0,long,29302.11,33115.41,0.32420873445632414,1232.2579060688813,4.047261033420461
1609617600000.0,1610107200000.0,long,33115.41,41399.98,0.3222259670275994,2664.701420937601,4.802158720237744
1610107200000.0,1610380800000.0,long,41399.98,31618.489999999998,0.3188917328137878,-3123.893292885881,4.656997285142316
1610380800000.0,1610654400000.0,short,31618.49,39925.5,0.323684424285112,-2693.4812844235103,4.631535042841962
1610654400000.0,1611158400000.0,long,39925.5,34226.78,0.1922482000779511,-1098.4197912205568,2.8511284723352506
1611158400000.0,1612569600000.0,short,34226.78,38362.65,0.1937695193808096,-804.2186659141548,2.813123792645385
1612569600000.0,1612828800000.0,long,38362.65,46451.32,0.1529638588036608,1234.6794813630752,2.5946944263315848
1612828800000.0,1613606400000.0,long,46451.32,52194.62,0.15157899679124687,867.5731217466227,2.9905305245459064
1613606400000.0,1613937600000.0,long,52194.62,58181.35,0.150690606635099,898.8174510850981,3.326524375447498
1613937600000.0,1614081600000.0,long,58181.35,46377.07,0.14986100407466163,-1772.1350991395786,3.133845961132036
1614081600000.0,1615248000000.0,short,46377.07,52429.43,0.15170400340592266,-921.1651103763757,2.997868322505459
1615248000000.0,1615636800000.0,long,52429.43,59905.92,0.11750042543623222,875.85086548643,2.6398902833056095
1615636800000.0,1616457600000.0,long,59905.92,54129.56,0.11672533620368848,-676.9097289819679,2.6621659484297986
1616457600000.0,1617105600000.0,short,54129.56,59326.4,0.11730142292045967,-612.2584357993235,2.661709109361351
1617105600000.0,1618372800000.0,long,59326.4,63857.87000000001,0.09722196013998892,438.16315247799366,2.395243237562727
1618372800000.0,1618718400000.0,long,63857.87000000001,54849.46,0.09684137430363919,-874.6859608860706,2.299156195423124
1618718400000.0,1621123200000.0,short,54849.46,46793.41,0.09759680821035188,784.2607628451369,1.984003937867946
1621123200000.0,1621756800000.0,short,46793.41,35911.08,0.13032134124792885,1416.0442094897687,2.1556320128051842
1621756800000.0,1623686400000.0,short,35911.08,40677.53999999999,0.2072736868893814,-991.136698738993,3.1749611282339627
1623686400000.0,1624032000000.0,long,40677.54,36363.91,0.15983862563905,-691.9475306124227,2.4628398970479184
1624032000000.0,1624363200000.0,short,36363.91,31243.149999999998,0.16072231874668258,820.847228255894,2.173192689369219
1624363200000.0,1624982400000.0,short,31243.15,36244.89,0.21202397327858355,-1063.350604584339,2.861816477916796
1624982400000.0,1625716800000.0,long,36244.89,33283.2,0.15489393750080788,-460.90172168217015,2.153895925402109
1625716800000.0,1626710400000.0,short,33283.2,30672.99,0.1555216172358906,403.95476650508414,1.989314020209179
1626710400000.0,1627084800000.0,short,30672.99,33634.46,0.18126743167084217,-539.1494301300087,2.33136925976022
1627084800000.0,1627430400000.0,long,33634.46,39442.33,0.15007888220420118,869.44518099566,2.1934565916542295
1627430400000.0,1628337600000.0,long,39442.33,43801.59,0.14892109777205845,646.7064294839728,2.4793551898498825
1628337600000.0,1628899200000.0,long,43801.59,47792.52,0.14812627099376002,588.4480799052683,2.713498791858453
1628899200000.0,1630886400000.0,long,47792.52,51799.57,0.14745386655082374,587.9179682128031,2.937047749675526
1630886400000.0,1631088000000.0,long,51799.57,45111.16,0.14682967321948304,-984.9029288213943,2.8458741634723106
1631088000000.0,1631952000000.0,short,45111.16,48621.6,0.1478582274015878,-521.8192677482408,2.7718319486116907
1631952000000.0,1632124800000.0,long,48621.6,44825.72,0.12698734408716666,-484.4020450693666,2.3733253957727145
1632124800000.0,1633291200000.0,short,44825.72,48774.37,0.127474715552872,-505.7393645375428,2.3863289696946435
1633291200000.0,1633536000000.0,long,48774.37,55014.04,0.10730417451095767,667.3152526390161,2.227385931770965
1633536000000.0,1634313600000.0,long,55014.04,60090.68,0.10665719151236819,539.0048154863453,2.4553492330035036
1634313600000.0,1634745600000.0,long,60090.68,66914.74,0.10616783792197247,721.7989178806615,2.6967781691544084
1634745600000.0,1634947200000.0,long,66914.74,60734.27,0.10558819397411902,-655.280310896921,2.6956456856968516
1634947200000.0,1636344000000.0,short,60734.27,65274.99,0.1060832747556802,-484.36794233868034,2.6734949900679883
1636344000000.0,1637121600000.0,long,65274.98999999999,59079.0,0.09165441015424008,-570.1693270923245,2.279518320755254
1637121600000.0,1637928000000.0,short,59079.0,53766.35,0.09209837413524623,487.20785269687144,2.0785746527445617
1637928000000.0,1639080000000.0,short,53766.35,47619.5,0.10980710622160961,672.7412335182372,2.2265773600636356
1639080000000.0,1640376000000.0,short,47619.5,51127.36,0.1374023557038727,-484.701837715859,2.7136102364721033
1640376000000.0,1640736000000.0,long,51127.36,47522.03,0.11896887951207531,-431.2693118498407,2.3472414785699454
1640736000000.0,1641441600000.0,short,47522.03,42817.38,0.11937324405866395,559.4525109729843,2.1568216876091415
1641441600000.0,1642737600000.0,short,42817.38,38447.91,0.14490234504720945,630.791343395041,2.355106218388308
1642737600000.0,1644134400000.0,short,38447.91,41588.0,0.17695605683124968,-558.4905123029383,2.832567807700157
1644134400000.0,1645358400000.0,long,41588.0,38316.0,0.15083737040288023,-495.9503778071585,2.4105018489343486
1645358400000.0,1646121600000.0,short,38316.0,43471.7,0.15142164373625072,-783.1614542052689,2.4768855942814705
1646121600000.0,1646452800000.0,long,43471.7,39029.1,0.1163485283507012,-518.8097413843761,1.919769333551106
1646452800000.0,1647705600000.0,short,39029.1,41909.0,0.11696398496475754,-338.7379488423006,1.8933685422952085
1647705600000.0,1648281600000.0,long,41909.0,44482.8,0.10124789458559813,258.84243351252076,1.7493975718920156
1648281600000.0,1648468800000.0,long,44482.8,47250.0,0.10091762042912603,277.4077480732171,1.8514911782601866
1648468800000.0,1649275200000.0,long,47250.0,43751.2,0.10058488225808007,-353.75705504203967,1.8306689974687993
1649275200000.0,1649678400000.0,short,43751.2,41055.09999999999,0.100947322231261,270.45188168903513,1.712193778668198
1649678400000.0,1650873600000.0,short,41055.1,38437.2,0.11383471899980582,296.1981141429622,1.8097967266296529
1650873600000.0,1651953600000.0,short,38437.2,35858.4,0.12890855682632302,330.5139186288121,1.9154677149091528
1651953600000.0,1652112000000.0,short,35858.4,32339.9,0.1469355075280022,514.9884328726663,2.0041503646093908
1652112000000.0,1652889600000.0,short,32339.9,28971.900000000005,0.17804975322654512,597.4882586950282,2.1833101719750583
1652889600000.0,1653955200000.0,short,28971.9,31726.5,0.21834001429424454,-604.0899812796533,2.650577904727555
1653955200000.0,1654315200000.0,long,31726.5,29543.2,0.18129448813817325,-398.0418277320494,2.221571779975887
1654315200000.0,1654516800000.0,short,29543.199999999997,31392.000000000004,0.18189295139220896,-338.500425208252,2.216736674334906
1654516800000.0,1654891200000.0,long,31392.0,28970.499999999996,0.16093668570407965,-391.65109257059197,1.9429081381625015
1654891200000.0,1655092800000.0,short,28970.500000000004,25499.999999999996,0.16154556875719805,558.8840027912593,1.7598935805977916
1655092800000.0,1655280000000.0,short,25500.0,20707.5,0.20435277264047455,977.4721367311173,1.888526148356946
1655280000000.0,1656864000000.0,short,20707.5,19035.3,0.2964913307848201,493.43612420615335,2.3566791322229896
1656864000000.0,1657209600000.0,short,19035.3,20881.9,0.34716335178444824,-643.843403194333,2.7715577891700356
1657209600000.0,1658318400000.0,long,20881.9,23720.0,0.2871724947053616,812.4625694449666,2.561687778319814
1658318400000.0,1658793600000.0,long,23720.0,21300.0,0.2853518869376311,-693.1208747790537,2.56930838998643
1658793600000.0,1659024000000.0,short,21300.0,23739.4,0.2868583064375825,-702.346137925232,2.5839852013929705
1659024000000.0,1660896000000.0,long,23739.4,21892.8,0.22927509103395774,-425.4718484651228,2.092465361815953
1660896000000.0,1661558400000.0,short,21892.8,20228.7,0.23015122963027432,381.0557982239648,1.9388630037743202
1661558400000.0,1662494400000.0,short,20228.7,18813.0,0.2669799763881236,375.8788821438363,2.0846704288304414
1662494400000.0,1662710400000.0,short,18813.0,20623.6,0.3060512829638591,-556.5503773395094,2.4139244051465045
1662710400000.0,1662984000000.0,long,20623.6,22301.0,0.2535454492875418,423.1204692364254,2.1766673984976035
1662984000000.0,1663171200000.0,long,22301.0,20165.6,0.25249918719793507,-541.3313207390829,2.144556396611966
1663171200000.0,1663574400000.0,short,20165.6,18459.6,0.2537350546970594,430.9118898662464,1.960113446936972
